Name,Degree,Eigenvector,Betweenness
Buckingham,9,0.12232958324001253,0.2264562834249246
Norfolk,11,0.300241533764166,0.15881797902703826
Abergavenny,3,0.05305190189311667,0.009290264516745358
Wolsey,15,0.35292116606747087,0.22797055506114744
Secretary,1,0.04202548934431087,0.0
Brandon,3,0.022944706010279488,0.0005807200929152149
Sergeant,2,0.017299478821558818,0.0
Katharine,11,0.1924507591089214,0.21950067289788547
KingHenry,17,0.3723391034823273,0.24842945801133953
Surrey,7,0.24870347899490045,0.016333443946684362
Chamberlain,15,0.3502366655197944,0.2428612908578065
Sandys,4,0.11673717247835774,0.005897074276865217
Lovell,8,0.20739713125883824,0.07917066802084223
Guildford,1,0.04170553988351875,0.0
Anne,3,0.06978260878314547,0.00038714672861014324
Servant,2,0.08373102922782956,0.0
1Gentleman,3,0.017086565319741988,0.023228803716608595
2Gentleman,3,0.017086565319741988,0.023228803716608595
Vaux,2,0.03926369702638131,0.0
Suffolk,7,0.2568276923594575,0.001718194052688826
Campeius,3,0.10928035700391922,0.0
Gardiner,10,0.26880461475119455,0.06869927078986313
OldLady,4,0.1190493667200249,0.006747414412919638
Scribe,3,0.0963099851140092,0.0025390372951348563
Crier,4,0.0835296728708571,0.010627177700348432
Griffith,4,0.040359582425557095,0.0017421602787456446
Lincoln,1,0.04433768358597802,0.0
Gentlewoman,1,0.022917184073630456,0.0
Cromwell,6,0.1963467778990605,0.008055082096893944
3Gentleman,2,0.004069563083851182,0.0
Patience,3,0.0314712267702887,0.0
Messenger,3,0.0314712267702887,0.0
Capuchius,1,0.022917184073630456,0.0
Boy,1,0.03200869158354773,0.0
Denny,1,0.04433768358597802,0.0
Cranmer,10,0.2635463871234432,0.06728057076489131
Keeper,4,0.11261574867123098,0.0028820224813256175
Butts,2,0.0757202390157645,0.0
Chancellor,4,0.11313695297675393,0.002608170639529524
One,2,0.005824984581495678,0.0
Porter,3,0.043092763841176523,0.09291521486643438
Man,2,0.005824984581495678,0.0
Garter,1,0.03138255542978653,0.0
